,Movie,Year,Duration (min),Genre,IMDb,Votes,Gross (Mill)
741,Beasts of No Nation,2015,137,"Drama, War",7.7,72943,0.08
742,The Social Network,2010,120,"Biography, Drama",7.7,617635,96.96
743,X-Men: First Class,2011,131,"Action, Adventure, Sci-Fi",7.7,641668,146.41
744,The Hangover,2009,100,Comedy,7.7,712200,277.32
745,Skyfall,2012,143,"Action, Adventure, Thriller",7.7,625912,304.36
746,Silver Linings Playbook,2012,122,"Comedy, Drama, Romance",7.7,656543,132.09
747,Argo,2012,120,"Biography, Drama, Thriller",7.7,568081,136.03
748,500 Days of Summer,2009,95,"Comedy, Drama, Romance",7.7,468751,32.39
749,Harry Potter and the Deathly Hallows: Part 1,2010,146,"Adventure, Family, Fantasy",7.7,471575,295.98
750,Ponyo,2008,101,"Animation, Adventure, Comedy",7.7,122992,15.09
751,Frost/Nixon,2008,122,"Biography, Drama, History",7.7,102537,18.59
752,Paprika,2006,90,"Animation, Drama, Fantasy",7.7,70048,0.88
753,Changeling,2008,141,"Biography, Crime, Drama",7.7,237363,35.74
754,Flipped,-,90,"Comedy, Drama, Romance",7.7,80786,1.75
755,The Girl Who Leapt Through Time,2006,98,"Animation, Adventure, Comedy",7.7,59649,-
756,Death Note,2006,126,"Crime, Drama, Fantasy",7.7,28464,-
757,This Is England,2006,101,"Crime, Drama",7.7,115007,0.33
758,Ex Machina,2014,108,"Drama, Sci-Fi, Thriller",7.7,468886,25.44
759,After the Wedding,2006,120,Drama,7.7,31734,0.41
760,The Last King of Scotland,2006,123,"Biography, Drama, History",7.7,174216,17.61
761,Zodiac,2007,157,"Crime, Drama, Mystery",7.7,456579,33.08
762,Lucky Number Slevin,2006,110,"Action, Crime, Drama",7.7,298301,22.49
763,Joyeux Noel,2005,116,"Drama, History, Music",7.7,27398,1.05
764,Control,2007,122,"Biography, Drama, Music",7.7,61194,0.87
765,Tangled,2010,100,"Animation, Adventure, Comedy",7.7,401375,200.82
766,Black Book,2006,145,"Drama, Thriller, War",7.7,72198,4.4
767,Brokeback Mountain,2005,134,"Drama, Romance",7.7,320329,83.04
768,3:10 to Yuma,2007,122,"Action, Crime, Drama",7.7,286619,53.61
769,Crash,-,112,"Crime, Drama, Thriller",7.7,417477,54.58
770,Kung Fu Hustle,2004,99,"Action, Comedy, Fantasy",7.7,126186,17.11
771,The Bourne Supremacy,2004,108,"Action, Mystery, Thriller",7.7,431432,176.24
772,The Machinist,2004,101,"Drama, Thriller",7.7,355115,1.08
773,Ray,-,152,"Biography, Drama, Music",7.7,137305,75.33
774,Lost in Translation,2003,102,"Comedy, Drama",7.7,409887,44.59
775,Harry Potter and the Goblet of Fire,2005,157,"Adventure, Family, Fantasy",7.7,540289,290.01
776,Man on Fire,2004,146,"Action, Crime, Drama",7.7,326774,77.91
777,Coraline,2009,100,"Animation, Drama, Family",7.7,195554,75.29
778,The Last Samurai,2003,154,"Action, Drama",7.7,396621,111.11
779,The Magdalene Sisters,2002,114,Drama,7.7,25785,4.89
780,Finding Neverland,2004,106,"Biography, Drama, Family",7.7,197539,51.68
781,Good Bye Lenin!,2003,121,"Comedy, Drama, Romance",7.7,136974,4.06
782,In America,2002,105,Drama,7.7,40273,15.54
783,I Am Sam,2001,132,Drama,7.7,142102,40.31
784,Adaptation.,2002,115,"Comedy, Drama",7.7,176880,22.25
785,Black Hawk Down,2001,144,"Drama, History, War",7.7,361454,108.64
786,Road to Perdition,2002,117,"Crime, Drama, Thriller",7.7,244533,104.45
787,The Experiment,2001,120,"Drama, Thriller",7.7,90465,0.14
788,Billy Elliot,2000,110,"Drama, Music",7.7,125474,22
789,Hedwig and the Angry Inch,2001,93,"Comedy, Drama, Music",7.7,31763,3.03
790,Ocean's Eleven,2001,116,"Crime, Thriller",7.7,511176,183.42
791,Vampire Hunter D: Bloodlust,2000,103,"Animation, Action, Fantasy",7.7,28994,0.15
792,"O Brother, Where Art Thou?",2000,107,"Adventure, Comedy, Crime",7.7,282648,45.51
793,Interstate 60: Episodes of the Road,2002,116,"Adventure, Comedy, Drama",7.7,29722,-
794,"South Park: Bigger, Longer & Uncut",1999,81,"Animation, Comedy, Fantasy",7.7,191211,52.04
795,Office Space,1999,89,Comedy,7.7,239673,10.82
796,Happiness,1998,134,"Comedy, Drama",7.7,66001,2.81
797,Training Day,2001,122,"Crime, Drama, Thriller",7.7,386017,76.63
798,Rushmore,1998,93,"Comedy, Drama, Romance",7.7,167830,17.11
799,Open Your Eyes,1997,119,"Drama, Mystery, Sci-Fi",7.7,63600,0.37
800,Being John Malkovich,1999,113,"Comedy, Drama, Fantasy",7.7,309858,22.86
801,As Good as It Gets,1997,139,"Comedy, Drama, Romance",7.7,272899,148.48
802,The Fifth Element,1997,126,"Action, Adventure, Sci-Fi",7.7,430245,63.54
803,Le Dîner de Cons,1998,80,Comedy,7.7,37014,4.07
804,Donnie Brasco,1997,127,"Biography, Crime, Drama",7.7,276005,41.91
805,Shine,1996,105,"Biography, Drama, Music",7.7,50971,35.81
806,Primal Fear,1996,129,"Crime, Drama, Mystery",7.7,186615,56.12
807,Hamlet,1996,242,Drama,7.7,35795,4.41
808,A Little Princess,1995,97,"Drama, Family, Fantasy",7.7,31934,10.02
809,Fallen Angels,1995,99,"Comedy, Crime, Drama",7.7,25603,-
810,Il Postino,1994,108,"Biography, Comedy, Drama",7.7,33283,21.85
811,Clerks,1994,92,Comedy,7.7,210531,3.15
812,Short Cuts,1993,190,"Comedy, Drama",7.7,42002,6.11
813,Philadelphia,1993,125,Drama,7.7,222003,77.32
814,The Muppet Christmas Carol,1992,85,"Comedy, Drama, Family",7.7,47084,27.28
815,Malcolm X,1992,202,"Biography, Drama, History",7.7,84709,48.17
816,The Last of the Mohicans,1992,112,"Action, Adventure, Drama",7.7,147636,75.51
817,Porco Rosso,1992,94,"Animation, Adventure, Comedy",7.7,76205,-
818,Glengarry Glen Ross,1992,100,"Crime, Drama, Mystery",7.7,94991,10.73
819,A Few Good Men,1992,138,"Drama, Thriller",7.7,232826,141.34
820,Fried Green Tomatoes,1991,130,Drama,7.7,66280,82.42
821,Barton Fink,1991,116,"Comedy, Drama, Thriller",7.7,112246,6.15
822,Miller's Crossing,1990,115,"Crime, Drama, Thriller",7.7,124942,5.08
823,Who Framed Roger Rabbit,1988,104,"Animation, Adventure, Comedy",7.7,180531,156.45
824,The Vanishing,1988,107,"Mystery, Thriller",7.7,33613,-
825,Withnail & I,1987,107,"Comedy, Drama",7.7,39885,1.54
826,The Last Emperor,1987,163,"Biography, Drama, History",7.7,93239,43.98
827,Empire of the Sun,1987,153,"Action, Drama, History",7.7,114530,22.24
828,The Name of the Rose,1986,130,"Crime, Drama, Mystery",7.7,101119,7.15
829,Blue Velvet,1986,120,"Drama, Mystery, Thriller",7.7,179162,8.55
830,The Purple Rose of Cairo,1985,82,"Comedy, Fantasy, Romance",7.7,46704,10.63
831,After Hours,1985,97,"Comedy, Crime, Drama",7.7,58323,10.6
832,Zelig,1983,79,Comedy,7.7,39620,11.8
833,The Verdict,1982,129,Drama,7.7,35680,54
834,Star Trek II: The Wrath of Khan,1982,113,"Action, Adventure, Sci-Fi",7.7,111846,78.91
835,First Blood,1982,93,"Action, Adventure",7.7,224178,47.21
836,Ordinary People,1980,124,Drama,7.7,46488,54.8
837,Airplane!,1980,88,Comedy,7.7,212380,83.4
838,Lupin the 3rd: Castle of Cagliostro,1979,102,"Animation, Adventure, Family",7.7,26486,-
839,The Tenant,1976,126,"Drama, Thriller",7.7,39335,1.92
840,Love and Death,1975,85,"Comedy, War",7.7,35701,-
841,The Taking of Pelham One Two Three,1974,104,"Action, Crime, Thriller",7.7,26277,-
842,Blazing Saddles,1974,93,"Comedy, Western",7.7,124928,119.5
843,Serpico,1973,130,"Biography, Crime, Drama",7.7,108513,29.8
844,Enter the Dragon,1973,102,"Action, Crime, Drama",7.7,95489,25
845,Deliverance,1972,109,"Adventure, Drama, Thriller",7.7,98009,7.06
846,The French Connection,1971,104,"Action, Crime, Drama",7.7,108929,15.63
847,Dirty Harry,1971,102,"Action, Crime, Thriller",7.7,142059,35.9
848,Where Eagles Dare,1968,158,"Action, Adventure, War",7.7,51419,-
849,The Odd Couple,1968,105,Comedy,7.7,31310,44.53
850,The Dirty Dozen,1967,150,"Action, Adventure, War",7.7,66630,45.3
851,Belle de Jour,1967,100,"Drama, Romance",7.7,39752,0.03
852,A Man for All Seasons,1966,120,"Biography, Drama, History",7.7,30948,28.35
853,Repulsion,1965,105,"Drama, Horror, Thriller",7.7,48465,-
854,Zulu,1964,138,"Drama, History, War",7.7,35556,-
855,Goldfinger,1964,110,"Action, Adventure, Thriller",7.7,171788,51.08
856,The Birds,1963,119,"Drama, Horror, Mystery",7.7,170008,11.4
857,Cape Fear,1962,106,"Drama, Thriller",7.7,26168,-
858,Peeping Tom,1960,101,"Drama, Horror, Thriller",7.7,31034,0.08
859,The Magnificent Seven,1960,128,"Action, Adventure, Western",7.7,86872,4.91
860,Eyes Without a Face,1960,90,"Drama, Horror",7.7,27224,0.05
861,Invasion of the Body Snatchers,1956,80,"Drama, Horror, Sci-Fi",7.7,44500,-
862,Rebel Without a Cause,1955,111,Drama,7.7,82578,-
863,The Ladykillers,1955,91,"Comedy, Crime",7.7,26005,-
864,Sabrina,1954,113,"Comedy, Drama, Romance",7.7,58634,-
865,The Quiet Man,1952,129,"Comedy, Drama, Romance",7.7,34280,10.55
866,The Day the Earth Stood Still,1951,92,"Drama, Sci-Fi",7.7,75877,-
867,The African Queen,1951,105,"Adventure, Drama, Romance",7.7,70862,0.54
868,Gilda,1946,110,"Drama, Film-Noir, Romance",7.7,27646,-
869,Fantasia,1940,125,"Animation, Family, Fantasy",7.7,87775,76.41
870,The Invisible Man,1933,71,"Horror, Sci-Fi",7.7,30215,-
871,The Farewell,-,100,"Comedy, Drama",7.6,48128,16.88
872,Searching,-,102,"Drama, Mystery, Thriller",7.6,137749,26.02
873,Once Upon a Time... In Hollywood,2019,161,"Comedy, Drama",7.6,532515,142.5
874,Loveless,2017,127,Drama,7.6,29229,0.57
875,The Florida Project,2017,111,Drama,7.6,92840,5.9
876,Gifted,2017,101,Drama,7.6,97968,24.8
877,The Peanut Butter Falcon,2019,97,"Adventure, Comedy, Drama",7.6,61179,13.12
878,Victoria,-,138,"Crime, Drama, Romance",7.6,52017,-
879,Mustang,2015,97,Drama,7.6,35256,0.85
880,Guardians of the Galaxy Vol. 2,2017,136,"Action, Adventure, Comedy",7.6,560629,389.81
881,Baby Driver,2017,113,"Action, Crime, Music",7.6,431624,107.83
882,Only the Brave,2017,134,"Action, Biography, Drama",7.6,56840,18.34
883,Bridge of Spies,2015,142,"Drama, History, Thriller",7.6,284566,72.31
884,Incredibles 2,2018,118,"Animation, Action, Adventure",7.6,244768,608.58
885,Moana,-,107,"Animation, Adventure, Comedy",7.6,267140,248.76
886,Sicario,2015,121,"Action, Crime, Drama",7.6,366451,46.89
887,Creed,-,133,"Drama, Sport",7.6,244923,109.77
888,Leviathan,2014,140,"Crime, Drama",7.6,48816,1.09
889,Hell or High Water,-,102,"Action, Crime, Drama",7.6,201449,26.86
890,Philomena,2013,98,"Biography, Comedy, Drama",7.6,93557,37.71
891,Dawn of the Planet of the Apes,2014,130,"Action, Adventure, Drama",7.6,409410,208.55
892,The Body,2012,112,"Mystery, Thriller",7.6,56179,-
893,The Raid: Redemption,2011,101,"Action, Thriller",7.6,189106,4.11
894,End of Watch,2012,109,"Action, Crime, Drama",7.6,226433,41
895,The Secret World of Arrietty,2010,94,"Animation, Adventure, Family",7.6,79485,19.2
896,A Star Is Born,2018,136,"Drama, Music, Romance",7.6,327058,215.29
897,True Grit,2010,110,"Drama, Western",7.6,308664,171.24
898,In a Better World,2010,118,"Drama, Romance",7.6,38293,1.01
899,Despicable Me,2010,95,"Animation, Comedy, Crime",7.6,496184,251.51
900,50/50,2011,100,"Comedy, Drama, Romance",7.6,313884,35.01
901,Kick-Ass,2010,117,"Action, Comedy, Crime",7.6,521469,48.07
902,Celda 211,2009,113,"Action, Adventure, Crime",7.6,63431,-
903,Moneyball,2011,133,"Biography, Drama, Sport",7.6,363989,75.61
904,The Skin I Live In,2011,120,"Drama, Horror, Thriller",7.6,137260,3.19
905,Zombieland,2009,88,"Adventure, Comedy, Fantasy",7.6,516236,75.59
906,The Wave,2008,107,"Drama, Thriller",7.6,101927,-
907,Sherlock Holmes,2009,128,"Action, Adventure, Mystery",7.6,578860,209.03
908,The Blind Side,2009,129,"Biography, Drama, Sport",7.6,289700,255.96
909,The Visitor,-,104,Drama,7.6,41394,9.42
910,Seven Pounds,2008,123,Drama,7.6,284793,69.95
911,Eastern Promises,2007,100,"Action, Crime, Drama",7.6,226030,17.11
912,Stardust,2007,127,"Adventure, Family, Fantasy",7.6,252787,38.63
913,The Secret of Kells,2009,75,"Animation, Adventure, Family",7.6,30930,0.69
914,Inside Man,2006,129,"Crime, Drama, Mystery",7.6,334927,88.51
915,Gone Baby Gone,2007,114,"Crime, Drama, Mystery",7.6,248066,20.3
916,La Vie En Rose,2007,140,"Biography, Drama, Music",7.6,82151,10.3
917,Fearless,2006,104,"Action, Biography, Drama",7.6,72545,24.63
918,The Illusionist,2006,110,"Drama, Fantasy, Mystery",7.6,352880,39.87
919,Thank You for Smoking,2005,92,"Comedy, Drama",7.6,212036,24.79
920,Dead Man's Shoes,2004,90,"Crime, Drama, Thriller",7.6,49029,0.01
921,Harry Potter and the Half-Blood Prince,2009,153,"Action, Adventure, Family",7.6,466994,301.96
922,300,2006,117,"Action, Drama",7.6,727870,210.61
923,Match Point,2005,124,"Drama, Romance, Thriller",7.6,204783,23.09
924,Watchmen,2009,162,"Action, Drama, Mystery",7.6,496923,107.51
925,Lord of War,2005,122,"Action, Crime, Drama",7.6,292245,24.15
926,Saw,2004,103,"Horror, Mystery",7.6,376329,56
927,"Synecdoche, New York",2008,124,Drama,7.6,82019,3.08
928,Mysterious Skin,2004,105,Drama,7.6,65613,0.7
929,Love Me If You Dare,2003,93,"Comedy, Drama, Romance",7.6,66948,0.55
930,A Very Long Engagement,2004,133,"Drama, Mystery, Romance",7.6,70572,6.17
931,The Station Agent,2003,89,"Comedy, Drama",7.6,67041,5.74
932,21 Grams,2003,124,"Crime, Drama, Thriller",7.6,223019,16.29
933,Love Actually,2003,135,"Comedy, Drama, Romance",7.6,420585,59.7
934,Sympathy for Mr. Vengeance,2002,129,"Crime, Drama, Thriller",7.6,61979,0.05
935,25th Hour,2002,135,Drama,7.6,168918,13.06
936,The Butterfly Effect,2004,113,"Drama, Sci-Fi, Thriller",7.6,448220,57.94
937,28 Days Later...,2002,113,"Drama, Horror, Sci-Fi",7.6,373862,45.06
938,Battle Royale,2000,114,"Action, Adventure, Drama",7.6,167907,-
939,The Royal Tenenbaums,2001,110,"Comedy, Drama",7.6,264226,52.36
940,Y Tu Mamá También,2001,106,Drama,7.6,114943,13.62
941,Harry Potter and the Sorcerer's Stone,2001,152,"Adventure, Family, Fantasy",7.6,644558,317.58
942,The Others,2001,104,"Horror, Mystery, Thriller",7.6,334501,96.52
943,Blow,2001,124,"Biography, Crime, Drama",7.6,238893,52.99
944,Enemy at the Gates,2001,131,"Drama, History, War",7.6,241340,51.4
945,Traffic,2000,147,"Crime, Drama, Thriller",7.6,194560,124.12
946,Minority Report,2002,145,"Action, Crime, Mystery",7.6,504062,132.07
947,The Hurricane,1999,146,"Biography, Drama, Sport",7.6,90873,50.67
948,American Psycho,2000,101,"Comedy, Crime, Drama",7.6,482991,15.07
949,Run Lola Run,1998,80,"Crime, Drama, Thriller",7.6,187320,7.27
950,The Thin Red Line,1998,170,"Drama, War",7.6,171233,36.4
951,Mulan,1998,88,"Animation, Adventure, Family",7.6,252807,120.62
952,Fear and Loathing in Las Vegas,1998,118,"Adventure, Comedy, Drama",7.6,257860,10.68
953,Funny Games,1997,108,"Crime, Drama, Thriller",7.6,64132,-
954,Dark City,1998,100,"Mystery, Sci-Fi, Thriller",7.6,186833,14.38
955,Sleepers,1996,147,"Crime, Drama, Thriller",7.6,185325,49.1
956,Lost Highway,1997,134,"Mystery, Thriller",7.6,129596,3.8
957,Sense and Sensibility,1995,136,"Drama, Romance",7.6,101198,43.18
958,Die Hard with a Vengeance,1995,128,"Action, Adventure, Thriller",7.6,360507,100.01
959,Dead Man,1995,120,"Adventure, Drama, Fantasy",7.6,89659,1.04
960,The Bridges of Madison County,1995,135,"Drama, Romance",7.6,72300,71.52
961,Apollo 13,-,140,"Adventure, Drama, History",7.6,265723,173.84
962,Three Colors: White,1994,92,"Comedy, Drama, Romance",7.6,63182,1.46
963,Falling Down,1993,113,"Action, Crime, Drama",7.6,168967,40.9
964,Dazed and Confused,1993,102,Comedy,7.6,163815,7.99
965,My Cousin Vinny,1992,120,"Comedy, Crime",7.6,105927,52.93
966,Only Yesterday,1991,118,"Animation, Drama, Romance",7.6,26360,0.45
967,Delicatessen,1991,99,"Comedy, Crime",7.6,79888,1.79
968,Home Alone,1990,103,"Comedy, Family",7.6,461213,285.76
969,The Godfather Coda: The Death of Michael Corleone,1990,162,"Crime, Drama",7.6,354832,66.67
970,When Harry Met Sally...,1989,95,"Comedy, Drama, Romance",7.6,193280,92.82
971,The Little Mermaid,1989,83,"Animation, Family, Fantasy",7.6,235145,111.54
972,The Naked Gun: From the Files of Police Squad!,1988,85,"Comedy, Crime",7.6,150931,78.76
973,Dangerous Liaisons,1988,119,"Drama, Romance",7.6,64056,34.7
974,"Planes, Trains & Automobiles",1987,93,"Comedy, Drama",7.6,122161,49.53
975,Lethal Weapon,1987,109,"Action, Crime, Thriller",7.6,234526,65.21
976,The Fly,1986,96,"Drama, Horror, Sci-Fi",7.6,158265,40.46
977,Indiana Jones and the Temple of Doom,1984,118,"Action, Adventure",7.6,444280,179.87
978,Blood Simple,1984,99,"Crime, Drama, Thriller",7.6,86699,2.15
979,On Golden Pond,1981,109,Drama,7.6,27367,119.29
980,Mad Max 2: The Road Warrior,1981,96,"Action, Adventure, Sci-Fi",7.6,165165,12.47
981,The Warriors,1979,92,"Action, Crime, Thriller",7.6,93001,22.49
982,The Muppet Movie,1979,95,"Adventure, Comedy, Family",7.6,32392,76.66
983,Escape from Alcatraz,1979,112,"Action, Biography, Crime",7.6,119746,43
984,Watership Down,1978,91,"Animation, Adventure, Drama",7.6,33388,-
985,Midnight Express,1978,121,"Biography, Crime, Drama",7.6,73035,35
986,Close Encounters of the Third Kind,1977,138,"Drama, Sci-Fi",7.6,182945,132.09
987,Robin Hood,1973,83,"Animation, Adventure, Comedy",7.6,114436,32.06
988,The Long Goodbye,1973,112,"Comedy, Crime, Drama",7.6,25810,0.96
989,Duck You Sucker,1971,138,"Drama, War, Western",7.6,29788,0.7
990,Kelly's Heroes,1970,144,"Adventure, Comedy, War",7.6,44882,1.38
991,The Jungle Book,1967,78,"Animation, Adventure, Family",7.6,164594,141.84
992,Blow-Up,1966,111,"Drama, Mystery, Thriller",7.6,55854,-
993,A Hard Day's Night,1964,87,"Comedy, Music, Musical",7.6,39947,13.78
994,Breakfast at Tiffany's,1961,115,"Comedy, Drama, Romance",7.6,164997,-
995,Giant,1956,201,"Drama, Western",7.6,33710,-
996,From Here to Eternity,1953,118,"Drama, Romance, War",7.6,42975,30.5
997,Lifeboat,1944,97,"Drama, War",7.6,26225,-
998,Snow White and the Seven Dwarfs,1937,83,"Animation, Family, Fantasy",7.6,179662,184.93
999,The 39 Steps,1935,86,"Mystery, Thriller",7.6,51279,-
