,Movie,Year,Duration (min),Genre,IMDb,Votes,Gross (Mill)
218,Spotlight,-,129,"Biography, Crime, Drama",8.1,414187,45.06
219,Song of the Sea,2014,93,"Animation, Adventure, Drama",8.1,50309,0.86
220,Kahaani,2012,122,"Mystery, Thriller",8.1,57248,1.04
221,Zindagi Na Milegi Dobara,2011,155,"Comedy, Drama",8.1,66897,3.11
222,Prisoners,2013,153,"Crime, Drama, Mystery",8.1,591872,61
223,Mad Max: Fury Road,2015,120,"Action, Adventure, Sci-Fi",8.1,869950,154.06
224,A Wednesday,2008,104,"Action, Crime, Drama",8.1,73359,-
225,Gran Torino,2008,116,Drama,8.1,714611,148.1
226,Harry Potter and the Deathly Hallows: Part 2,2011,130,"Adventure, Drama, Fantasy",8.1,754337,381.01
227,Departures,2008,130,"Drama, Music",8.1,48190,1.5
228,Hachi: A Dog's Tale,2009,93,"Biography, Drama, Family",8.1,249876,-
229,Mary and Max,2009,92,"Animation, Comedy, Drama",8.1,162988,-
230,How to Train Your Dragon,2010,98,"Animation, Action, Adventure",8.1,659670,217.58
231,Elite Squad,2007,115,"Action, Crime, Drama",8.1,97431,0.01
232,Into the Wild,2007,148,"Adventure, Biography, Drama",8.1,566816,18.35
233,No Country for Old Men,2007,122,"Crime, Drama, Thriller",8.1,845109,74.28
234,Lage Raho Munna Bhai,2006,144,"Comedy, Drama, Romance",8.1,42635,2.22
235,Million Dollar Baby,2004,132,"Drama, Sport",8.1,630189,100.49
236,Hotel Rwanda,2004,121,"Biography, Drama, History",8.1,331986,23.53
237,Tae Guk Gi: The Brotherhood of War,2004,140,"Action, Drama, War",8.1,37620,1.11
238,Before Sunset,2004,80,"Drama, Romance",8.1,232913,5.82
239,Munna Bhai M.B.B.S.,2003,156,"Comedy, Drama, Musical",8.1,73127,-
240,Memories of Murder,2003,132,"Action, Crime, Drama",8.1,134476,0.01
241,Dil Chahta Hai,2001,183,"Comedy, Drama, Romance",8.1,66172,0.3
242,Kill Bill: Vol. 1,2003,111,"Action, Crime, Thriller",8.1,990000,70.1
243,Finding Nemo,2003,100,"Animation, Adventure, Comedy",8.1,939573,380.84
244,Catch Me If You Can,2002,141,"Biography, Crime, Drama",8.1,816206,164.62
245,Amores Perros,2000,154,"Drama, Thriller",8.1,221684,5.38
246,Neon Genesis Evangelion: The End of Evangelion,1997,87,"Animation, Action, Drama",8.1,37781,-
247,Lagaan: Once Upon a Time in India,2001,224,"Adventure, Drama, Musical",8.1,103969,0.07
248,The Sixth Sense,1999,107,"Drama, Mystery, Thriller",8.1,903924,293.51
249,The Legend of 1900,1998,169,"Drama, Music, Romance",8.1,58355,0.26
250,The Truman Show,1998,103,"Comedy, Drama, Sci-Fi",8.1,926307,125.62
251,"Gato negro, gato blanco",1998,127,"Comedy, Crime, Romance",8.1,50407,0.35
252,The Big Lebowski,1998,117,"Comedy, Crime, Sport",8.1,724673,17.5
253,In the Mood for Love,2000,98,"Drama, Romance",8.1,121977,2.73
254,Trainspotting,1996,93,Drama,8.1,629504,16.5
255,Fargo,1996,98,"Crime, Drama, Thriller",8.1,610255,24.61
256,Underground,1995,167,"Comedy, Drama, War",8.1,54739,0.17
257,La Haine,1995,98,"Crime, Drama",8.1,147774,0.31
258,Dilwale Dulhania Le Jayenge,1995,181,"Drama, Romance",8.1,62894,-
259,Before Sunrise,1995,101,"Drama, Romance",8.1,267968,5.54
260,Three Colors: Red,1994,99,"Drama, Mystery, Romance",8.1,89395,4.04
261,Chungking Express,1994,102,"Comedy, Crime, Drama",8.1,61628,0.6
262,Jurassic Park,1993,127,"Action, Adventure, Sci-Fi",8.1,857908,402.45
263,In the Name of the Father,1993,133,"Biography, Crime, Drama",8.1,155166,25.01
264,Raise the Red Lantern,1991,125,"Drama, History, Romance",8.1,29264,2.6
265,Dead Poets Society,1989,128,"Comedy, Drama",8.1,418667,95.86
266,Stand by Me,1986,89,"Adventure, Drama",8.1,360046,52.29
267,Platoon,1986,120,"Drama, War",8.1,377703,138.53
268,"Paris, Texas",1984,145,Drama,8.1,89045,2.18
269,Nausicaä of the Valley of the Wind,1984,117,"Animation, Adventure, Fantasy",8.1,148329,0.5
270,The Thing,1982,109,"Horror, Mystery, Sci-Fi",8.1,367285,13.78
271,Pink Floyd: The Wall,1982,95,"Drama, Fantasy, Music",8.1,75511,22.24
272,Fitzcarraldo,1982,158,"Adventure, Drama",8.1,31164,-
273,Fanny and Alexander,1982,188,Drama,8.1,56931,4.97
274,Blade Runner,1982,117,"Action, Sci-Fi, Thriller",8.1,686760,32.87
275,The Elephant Man,1980,124,"Biography, Drama",8.1,217620,-
276,Monty Python's Life of Brian,1979,94,Comedy,8.1,363750,20.05
277,The Deer Hunter,1978,183,"Drama, War",8.1,308306,48.98
278,Rocky,1976,120,"Drama, Sport",8.1,512894,117.24
279,Network,1976,121,Drama,8.1,143675,-
280,Barry Lyndon,1975,185,"Adventure, Drama, History",8.1,147774,-
281,The Mirror,1975,107,"Biography, Drama",8.1,39192,0.18
282,Chinatown,1974,130,"Drama, Mystery, Thriller",8.1,290992,29.2
283,Paper Moon,1973,102,"Comedy, Crime, Drama",8.1,41836,30.93
284,Cries & Whispers,1972,91,Drama,8.1,29737,1.74
285,Solaris,1972,167,"Drama, Mystery, Sci-Fi",8.1,79844,-
286,Le Samouraï,1967,101,"Crime, Drama, Mystery",8.1,44815,0.04
